Sort 1,Date,,Sheet 1,December Live List,Start Date,"December 1, 2025",,,
Week 4,585 Kendal stair cast #1 ,17 treads  new build ( to be re used for cast #2) ,10/27/2025,Special,azak,25,1,4,"Remove Azek
17 Treads"
Week 5,585 Kendal stair cast #1 ,17 treads  new build ( to be re used for cast #2) ,10/31/2025,Finish,rack 3,6,3,3,rack 22 treads
Week 1,585 Kendal stair cast #1 ,17 treads  new build ( to be re used for cast #2) ,11/10/2025,Special,strips 2,20,2,4,"Install Strips 
10 Treads"
Week 2,585 Kendal stair cast #1 ,17 treads  new build ( to be re used for cast #2) ,11/11/2025,Special,tu 3,10,3,4,install strips in 7 treads
Week 2,585 Kendal stair cast #1 ,17 treads  new build ( to be re used for cast #2) ,11/12/2025,Special,tu 4,5,4,4,"Touch up 
17 Treads"
Week 2,585 Kendal stair cast #1 ,17 treads  new build ( to be re used for cast #2) ,11/13/2025,Load,load,5,1,1,Load 17 Treads
Week 3,585 Kendal stair cast #1 ,17 treads  new build ( to be re used for cast #2) ,11/21/2025,Ship,ship,1,1,1,Ship 17 Treads
Week 4,585 Kendal stair cast #2,22 treads  re build . ( use forms from cast #1 ) ,10/22/2025,Mill,M/R,20,1,2,"Check all Form , cut Azak for Balco strips 3 per tread 
Cut Parts for form to be Modified,
Form out 10 tread.."
Week 4,585 Kendal stair cast #2,22 treads  re build . ( use forms from cast #1 ) ,10/23/2025,Mill,M/R,20,2,2,Form out 12 treads 
Week 5,585 Kendal stair cast #2,22 treads  re build . ( use forms from cast #1 ) ,10/28/2025,Cast,cast,40,1,1,"Cast 
22 Treads"
Week 5,585 Kendal stair cast #2,22 treads  re build . ( use forms from cast #1 ) ,10/29/2025,Demold,dm,20,1,1,"Demold
22 Treads
Move all forms under container to be stripped"
Week 5,585 Kendal stair cast #2,22 treads  re build . ( use forms from cast #1 ) ,10/30/2025,Finish,g&f,20,1,2,"Grind Fill
22 Treads"
Week 5,585 Kendal stair cast #2,22 treads  re build . ( use forms from cast #1 ) ,10/31/2025,Finish,gof 2,20,2,2,"Grind off Fill
22 Treads"
Week 1,585 Kendal stair cast #2,22 treads  re build . ( use forms from cast #1 ) ,11/3/2025,Seal,seal,10,1,4,"Seal 
22 Treads"
Week 1,585 Kendal stair cast #2,22 treads  re build . ( use forms from cast #1 ) ,11/4/2025,Crating,build,8,1,2,"Build Crate
22 Treads"
Week 1,585 Kendal stair cast #2,22 treads  re build . ( use forms from cast #1 ) ,11/4/2025,Seal,seal 2,10,2,4,"Seal
22 Treads"
Week 1,585 Kendal stair cast #2,22 treads  re build . ( use forms from cast #1 ) ,11/5/2025,Seal,tu 3,7,3,4,"Touch up 
22 Treads"
Week 1,585 Kendal stair cast #2,22 treads  re build . ( use forms from cast #1 ) ,11/5/2025,Special,azak,30,1,4,remove Azak 11 treads
Week 1,585 Kendal stair cast #2,22 treads  re build . ( use forms from cast #1 ) ,11/6/2025,Seal,tu,0,4,4,"Touch up 
22 Treads"
Week 2,585 Kendal stair cast #2,22 treads  re build . ( use forms from cast #1 ) ,11/11/2025,Crating,rack,6,2,2,rack  22 treads
Week 2,585 Kendal stair cast #2,22 treads  re build . ( use forms from cast #1 ) ,11/17/2025,Special,strips 2,10,2,4,"Install Strip 
22 Treads"
Week 3,585 Kendal stair cast #2,22 treads  re build . ( use forms from cast #1 ) ,11/18/2025,Special,strips 2,10,3,4,"Touch up
22 Treads"
Week 3,585 Kendal stair cast #2,22 treads  re build . ( use forms from cast #1 ) ,11/19/2025,Special,tu 3,10,4,4,touch up strips 22 treads
Week 3,585 Kendal stair cast #2,22 treads  re build . ( use forms from cast #1 ) ,11/20/2025,Load,load,5,1,1,"Load
22 Treads"
Week 3,585 Kendal stair cast #2,22 treads  re build . ( use forms from cast #1 ) ,11/21/2025,Ship,ship,0,1,1,"Ship
22 Treads"
Week 1,Bush re makes ,"1 re make , 1 remediation ",10/3/2025,Mill,mill,0,1,1,"Mill all parts for ..
Cut All foam
A5.VC Template"
Week 1,Bush re makes ,"1 re make , 1 remediation ",10/4/2025,Form Out,fo,0,1,2,Form Out A5vB piece
Week 2,Bush re makes ,"1 re make , 1 remediation ",10/7/2025,Cast,cast,,1,2,"Cast 
A5.VB and all Cover Plates"
Week 2,Bush re makes ,"1 re make , 1 remediation ",10/8/2025,Demold,dm,,1,2,Demold A5.Vb and All Cover Plates
Week 2,Bush re makes ,"1 re make , 1 remediation ",10/8/2025,Form Out,fo,,2,2,"Form out 
Cover Plates."
Week 2,Bush re makes ,"1 re make , 1 remediation ",10/10/2025,Cast,cast 2,,2,2,cast cover plates.
Week 2,Bush re makes ,"1 re make , 1 remediation ",10/10/2025,Finish,acid 2,,1,3,"Acid Wash.
1 Piece"
Week 2,Bush re makes ,"1 re make , 1 remediation ",10/11/2025,Demold,dm 2,,2,2,de mold cover plates 
Week 2,Bush re makes ,"1 re make , 1 remediation ",10/11/2025,Special,drill ,,1,2,"Drill hole for rod 
A5.VB

Use template for plate location
A5.VC
mark out area to be cut
remove required concrete to install new plate 
epoxy in plate "
Week 2,Bush re makes ,"1 re make , 1 remediation ",10/13/2025,Finish,acid 3 ,,2,3,fill 
Week 3,Bush re makes ,"1 re make , 1 remediation ",10/14/2025,Finish,paint 4 ,,3,3,"Grind off fill 
re acid wash "
Week 3,Bush re makes ,"1 re make , 1 remediation ",10/16/2025,Seal,seal,,1,2,"Seal 
1 Piece"
Week 3,Bush re makes ,"1 re make , 1 remediation ",10/16/2025,Special,brass 2,0,2,2,Install Brass Inserts
Week 3,Bush re makes ,"1 re make , 1 remediation ",10/17/2025,Seal,tu,,2,2,"Seal
1 Piece"
Week 4,Bush re makes ,"1 re make , 1 remediation ",10/22/2025,Load,load,0,1,1,
Week 1,bush remake filler bar,,11/6/2025,Ship,ship,0,1,2,ship
Week 1,bush remake filler bar,,11/10/2025,Form Out,fo,0,1,1,form out 1 filler bar
Week 2,bush remake filler bar,,11/11/2025,Cast,cast,0,1,1,cast 1 filler bar
Week 2,bush remake filler bar,,11/12/2025,Demold,dm,0,1,1,de mold 1 filler bar
Week 2,bush remake filler bar,,11/13/2025,Finish,acid,0,1,2,"acid wash,  fill"
Week 2,bush remake filler bar,,11/14/2025,Finish,paint,0,2,2,"touch up ,"
Week 2,bush remake filler bar,,11/17/2025,Seal,seal,,1,1,"seal,"
Week 3,bush remake filler bar,,11/18/2025,Ship,ship,0,2,2,
Week 1,Castleberry Stair 1 cast #1 ,30 treads /4 landings ( flat treads ) ,9/29/2025,Finish,rack 3,4,1,1,"Grinf and Fill:
30 Treads 
4 Landings"
Week 1,Castleberry Stair 1 cast #1 ,30 treads /4 landings ( flat treads ) ,10/1/2025,Load,load,6,1,1,"Load:
30 Treads 
4 Landings"
Week 3,Castleberry Stair 1 cast #1 ,30 treads /4 landings ( flat treads ) ,10/14/2025,Ship,ship,2,1,1,"Ship
30 Treads 
4 Landings"
Week 1,Castleberry Stair 1 cast #2,28 treads  ( flat treads )   use form from cast #1 ,9/29/2025,Seal,seal,3,1,3,"Seal
28 Treads"
Week 1,Castleberry Stair 1 cast #2,28 treads  ( flat treads )   use form from cast #1 ,9/30/2025,Seal,seal 2,3,2,3,"Seal
28 Treads"
Week 1,Castleberry Stair 1 cast #2,28 treads  ( flat treads )   use form from cast #1 ,10/1/2025,Seal,tu 3,2,3,3,"Touchup
28 treads"
Week 1,Castleberry Stair 1 cast #2,28 treads  ( flat treads )   use form from cast #1 ,10/2/2025,Finish,rack 3,4,1,1,"Grind and Fill
28 Treads"
Week 2,Castleberry Stair 1 cast #2,28 treads  ( flat treads )   use form from cast #1 ,10/7/2025,Load,load,6,1,1,"Load:
28 treads"
Week 1,Castleberry stair 2 cast #1 ,14 treads / 6 landings ( FULL RETURN) ,9/29/2025,Finish,rack 3,4,1,1,"Grind and Fill
13 Treads 
6 Landings"
Week 1,Castleberry stair 2 cast #1 ,14 treads / 6 landings ( FULL RETURN) ,10/2/2025,Load,load,6,1,1,"Load for:
13 Treads 
6 Landings"
Week 3,Castleberry stair 2 cast #1 ,14 treads / 6 landings ( FULL RETURN) ,10/14/2025,Ship,ship,1,1,1,"Ship
13 Treads
6 Landings"
Week 1,Castleberry stair 2 cast #2,15 treads Use froms form cast #1   ( FULL RETURN) ,9/29/2025,Seal,seal,3,1,3,"Seal:
16 Treads "
