Sort 1,Date,,Sheet 1,December Live List,Start Date,"December 1, 2025",,,
Week 2,Jane ST 17 th floor tille   cast #5,70 tile ( use forms from previous casting ),12/11/2025,Finish,gof 2,15,2,2,
Week 2,Jane ST 17 th floor tille   cast #5,70 tile ( use forms from previous casting ),12/15/2025,Crating,build,3,1,2,
Week 2,Jane ST 17 th floor tille   cast #5,70 tile ( use forms from previous casting ),12/15/2025,Seal,Seal,7,1,3,
Week 3,Jane ST 17 th floor tille   cast #5,70 tile ( use forms from previous casting ),12/16/2025,Seal,seal 2,8,2,3,
Week 3,Jane ST 17 th floor tille   cast #5,70 tile ( use forms from previous casting ),12/17/2025,Seal,tu 3,7,3,3,
Week 3,Jane ST 17 th floor tille   cast #5,70 tile ( use forms from previous casting ),12/19/2025,Crating,rack,4,2,2,
Week 4,Jane ST 17 th floor tille   cast #5,70 tile ( use forms from previous casting ),12/23/2025,Load,load,4,1,1,
Week 4,Jane ST 17 th floor tille   cast #5,70 tile ( use forms from previous casting ),12/29/2025,Ship,ship,2,1,1,
Week 1,Jane St 17th Floor Mock Up #2,4 Tile,9/30/2025,Cast,cast,3,1,2,"Cast 2 Tiles
Dolphin "
Week 1,Jane St 17th Floor Mock Up #2,4 Tile,10/1/2025,Demold,dm,1,1,2,"Demold:
2 Tiles"
Week 1,Jane St 17th Floor Mock Up #2,4 Tile,10/2/2025,Finish,g&f,1,1,4,"Grind and Fill
2 Tiles."
Week 1,Jane St 17th Floor Mock Up #2,4 Tile,10/3/2025,Finish,gof 2,2,2,4,"Grind off Fill
2 Tiles  Dolphin .
Grind and fill 2 tile 
Arim grey"
Week 1,Jane St 17th Floor Mock Up #2,4 Tile,10/6/2025,Cast,cast 2,1,2,2,"Cast 2 Tiles
Arim grey "
Week 2,Jane St 17th Floor Mock Up #2,4 Tile,10/7/2025,Demold,dm 2,,2,2,"Demold:
2 Tiles"
Week 2,Jane St 17th Floor Mock Up #2,4 Tile,10/10/2025,Finish,g&f 3,0,3,4,"Grind and fill .
2 tile  Arim grey"
Week 2,Jane St 17th Floor Mock Up #2,4 Tile,10/11/2025,Finish,gof 4,0,4,4,"Grind and fill 
2 tile  Arim grey "
Week 2,Jane St 17th Floor Mock Up #2,4 Tile,10/13/2025,Seal,seal,0,1,1,"Seal 
4 Tiles"
Week 3,Jane St 17th Floor Mock Up #2,4 Tile,10/20/2025,Load,load,0,1,1,load 4 tile into crate
Week 4,Jane St 17th Floor Mock Up #2,4 Tile,10/23/2025,Ship,ship,1,1,1,"Ship 
4 Tiles
1169 East. 156 th st Bronx NY "
Week 1,Jane Street 10th floor   Fish  ,137 tile   ,12/1/2025,Crating,build,4,1,3,
Week 1,Jane Street 10th floor   Fish  ,137 tile   ,12/1/2025,Seal,seal ,8,1,3,
Week 1,Jane Street 10th floor   Fish  ,137 tile   ,12/2/2025,Seal,seal 2,7,2,3,
Week 1,Jane Street 10th floor   Fish  ,137 tile   ,12/3/2025,Seal,tu 3,5,3,3,
Week 1,Jane Street 10th floor   Fish  ,137 tile   ,12/5/2025,Crating,rack  ,7,2,3,
Week 2,Jane Street 10th floor   Fish  ,137 tile   ,12/10/2025,Crating,load ,7,3,3,
Week 2,Jane Street 10th floor   Fish  ,137 tile   ,11/14/2025,Mill,mill,15,1,1,"mill parts for 137 fish tile 
mill to make 4 templates
2  for  form out 
2 for fiberglass mesh 
rails to be HDO 
melemine for base"
Week 2,Jane Street 10th floor   Fish  ,137 tile   ,11/17/2025,Form Out,fo,15,1,2,
Week 3,Jane Street 10th floor   Fish  ,137 tile   ,11/19/2025,Demold,batch,7,1,2,
Week 3,Jane Street 10th floor   Fish  ,137 tile   ,11/19/2025,Form Out,fo 2,15,2,2,
Week 3,Jane Street 10th floor   Fish  ,137 tile   ,11/20/2025,Cast,cast,35,1,1,
Week 3,Jane Street 10th floor   Fish  ,137 tile   ,11/21/2025,Demold,dm 2,12,2,2,
Week 3,Jane Street 10th floor   Fish  ,137 tile   ,11/24/2025,Finish,g&f,15,1,2,
Week 4,Jane Street 10th floor   Fish  ,137 tile   ,11/25/2025,Finish,gof 2,15,2,2,
Week 1,Jane Street 6th floor   Bowtie ,142 tile   ,12/1/2025,Crating,build,4,1,3,
Week 1,Jane Street 6th floor   Bowtie ,142 tile   ,12/2/2025,Seal,seal ,6,1,3,
Week 1,Jane Street 6th floor   Bowtie ,142 tile   ,12/3/2025,Seal,seal 2,6,2,3,
Week 1,Jane Street 6th floor   Bowtie ,142 tile   ,12/4/2025,Seal,tu 3,4,3,3,
Week 1,Jane Street 6th floor   Bowtie ,142 tile   ,12/8/2025,Crating,rack,5,2,3,
Week 2,Jane Street 6th floor   Bowtie ,142 tile   ,12/12/2025,Crating,load ,7,3,3,
Week 3,Jane Street 6th floor   Bowtie ,142 tile   ,11/19/2025,Mill,mill,15,1,1,
Week 3,Jane Street 6th floor   Bowtie ,142 tile   ,11/20/2025,Form Out,fo,25,1,1,
Week 3,Jane Street 6th floor   Bowtie ,142 tile   ,11/21/2025,Cast,cast,30,1,1,
Week 3,Jane Street 6th floor   Bowtie ,142 tile   ,11/24/2025,Demold,dm,12,1,1,
Week 4,Jane Street 6th floor   Bowtie ,142 tile   ,11/25/2025,Finish,g&f,12,1,2,
Week 4,Jane Street 6th floor   Bowtie ,142 tile   ,11/26/2025,Finish,gof 2,12,2,2,
Week 3,Jane Street tile  3rd floor ,106 tile ,10/17/2025,Mill,mill,20,1,1,"Cut All Rails and Bases 
Cut Templates w/ handles..
cut template for fiberglass "
Week 3,Jane Street tile  3rd floor ,106 tile ,10/18/2025,Form Out,fo,25,1,2,"Form Out 
106 Tiles"
Week 4,Jane Street tile  3rd floor ,106 tile ,10/24/2025,Form Out,fo 2,0,2,2,form out 6 more tile
Week 5,Jane Street tile  3rd floor ,106 tile ,10/29/2025,Cast,cast,35,1,1,"Cast 106 
Tiles"
Week 5,Jane Street tile  3rd floor ,106 tile ,10/30/2025,Demold,dm,15,1,1,"Demold 106 Tiles
remove all rails before de"
Week 5,Jane Street tile  3rd floor ,106 tile ,10/31/2025,Finish,gof ,15,1,3,Grind and Fill 106 Tiles
Week 5,Jane Street tile  3rd floor ,106 tile ,11/1/2025,Finish,gof 2,15,2,3,Grind off Fill 106 tiles
Week 1,Jane Street tile  3rd floor ,106 tile ,11/3/2025,Seal,seal,10,1,3,Seal 106 Tiles
Week 1,Jane Street tile  3rd floor ,106 tile ,11/4/2025,Seal,seal 2,10,2,3,Seal 106 Tiles
Week 1,Jane Street tile  3rd floor ,106 tile ,11/5/2025,Crating,build ,4,1,1,Build Crate for 106 Tiles
Week 1,Jane Street tile  3rd floor ,106 tile ,11/5/2025,Seal,tu 3,6,3,3,Touch Up 106 Tiles
Week 1,Jane Street tile  3rd floor ,106 tile ,11/6/2025,Finish,rack 3,6,3,3,rack 106 tiles
Week 2,Jane Street tile  3rd floor ,106 tile ,11/11/2025,Load,load,2,1,1,"Load 
106 Tile"
Week 3,Jane Street tile  3rd floor ,106 tile ,11/24/2025,Ship,ship ,1,1,1,"Ship
106 Tile"
Week 4,Jane Street tile  3rd floor   mock up ,3 tile ,10/22/2025,Cast,cast,0,1,1,cast 3 tile
Week 4,Jane Street tile  3rd floor   mock up ,3 tile ,10/23/2025,Demold,dm,0,1,1,de mold 3 tile
Week 4,Jane Street tile  3rd floor   mock up ,3 tile ,10/24/2025,Finish,g&f ,0,1,2,grind and fill 3 tile
Week 4,Jane Street tile  3rd floor   mock up ,3 tile ,10/25/2025,Finish,gof,0,2,2,Grind off fill 3 tile
Week 5,Jane Street tile  3rd floor   mock up ,3 tile ,10/29/2025,Seal,seal,0,1,1,Seal 3 Tiles
Week 3,mics. tasks ,,10/18/2025,Mill,mill,0,1,2,"strip forms under container 
Do NOT strip stoneham treads or pavers"
Week 3,mics. tasks ,,10/18/2025,Special,grind,0,1,1,grind down steel plate bush 
Week 3,mics. tasks ,,10/20/2025,Finish,MISS,0,1,2,"touch up to Bush , see notes from inspection"
Week 4,mics. tasks ,,10/21/2025,Finish,miss,0,2,2,"touch up to bush , see notes form inspection"
Week 4,mics. tasks ,,10/21/2025,Mill,mill,0,2,2,"Rochester U  
Cut parts and Build Mock Up panels
8 panels"
Week 4,mics. tasks ,,10/24/2025,Crating,miss,,1,1,
Week 3,MLS Stair   cast #1  ,shipment ,11/24/2025,Ship,ship,1,1,1,"Ship
22 Treads 
4 Landings"
Week 1,Monmouth Univ.   ,Cast 1 - 5          134  treads ,11/3/2025,Load,load,4,1,3,load set #1 in crates
Week 1,Monmouth Univ.   ,Cast 1 - 5          134  treads ,11/3/2025,Special,dry,2,1,4,day 1 of 2 start dry fit  next set #2
Week 1,Monmouth Univ.   ,Cast 1 - 5          134  treads ,11/4/2025,Special,dry,1,2,4,complete dry fit set #2
Week 1,Monmouth Univ.   ,Cast 1 - 5          134  treads ,11/6/2025,Special,dry,2,3,4,start dry fit next set #3
Week 1,Monmouth Univ.   ,Cast 1 - 5          134  treads ,11/7/2025,Special,dry,2,4,4,complete dry set #4
Week 1,Monmouth Univ.   ,Cast 1 - 5          134  treads ,11/10/2025,Finish,tu,,1,1,"touch up Set #3  final day
start touch up on set #4"
Week 2,Monmouth Univ.   ,Cast 1 - 5          134  treads ,11/11/2025,Load,load,3,2,3,load set #3 in crates
Week 2,Monmouth Univ.   ,Cast 1 - 5          134  treads ,11/12/2025,Load,load,3,3,3,
Week 1,Monmouth Univ.   ( shipping ) ,Cast 1 - 5          134  treads ,11/3/2025,Load,load,4,1,2,load set #1 in crates
Week 1,Monmouth Univ.   ( shipping ) ,Cast 1 - 5          134  treads ,11/7/2025,Load,load,3,2,2,"Load 
 set #2"
Week 3,Monmouth Univ.   ( shipping ) ,Cast 1 - 5          134  treads ,11/18/2025,Ship,ship,2,1,1,"Ship
Cast 1-5"
Week 1,Monmouth Univ. stairs cast #1 ,27 treads ( New build) to be re used ,9/29/2025,Finish,acid,8,1,4,"Acid Wash 27 Tread
fill as required "
Week 1,Monmouth Univ. stairs cast #1 ,27 treads ( New build) to be re used ,9/30/2025,Finish,acid 2,5,2,4,"remove fill
re Acid Wash 27 Tread"
Week 1,Monmouth Univ. stairs cast #1 ,27 treads ( New build) to be re used ,10/1/2025,Finish,tu 3,2,3,4,touch up FER. remove fill as required 
Week 1,Monmouth Univ. stairs cast #1 ,27 treads ( New build) to be re used ,10/3/2025,Seal,seal ,8,1,3,Seal  27 Tread
Week 1,Monmouth Univ. stairs cast #1 ,27 treads ( New build) to be re used ,10/4/2025,Seal,tu 2,2,2,3,Touch up 27 Treads
Week 2,Monmouth Univ. stairs cast #1 ,27 treads ( New build) to be re used ,10/7/2025,Seal,tu,2,3,3,touch front edge  up 27 treads as required 
Week 2,Monmouth Univ. stairs cast #1 ,27 treads ( New build) to be re used ,10/8/2025,Special,dry,3,1,2,"Dry Fit 27 Treads
with de mold team 
make sure light chanel match up 
use drawing in file to layout slabs"
Week 2,Monmouth Univ. stairs cast #1 ,27 treads ( New build) to be re used ,10/9/2025,Finish,rack 4,4,4,4,"Rack
27 Treads"
Week 5,Monmouth Univ. stairs cast #1 ,27 treads ( New build) to be re used ,10/29/2025,Special,dry 2,3,2,2,"final dry fit 
confirm seams line up  flush 
Dry Fit 27 Treads"
Week 1,Monmouth Univ. stairs cast #2,27 treads ( use froms from cast #1) ,9/30/2025,Cast,cast,20,1,2,"Cast:
18 Treads

Cast side ""A"" "
Week 1,Monmouth Univ. stairs cast #2,27 treads ( use froms from cast #1) ,10/1/2025,Cast,cast 2,15,2,2,"Cast:
9 Treads

Cast side ""A"" "
Week 1,Monmouth Univ. stairs cast #2,27 treads ( use froms from cast #1) ,10/1/2025,Demold,dm,10,1,2,"Demold:
18 Treads
pre fill viods as required"
Week 1,Monmouth Univ. stairs cast #2,27 treads ( use froms from cast #1) ,10/1/2025,Special,dry,3,1,5,"Dry Fit 20 Treads
with de mold team "
Week 1,Monmouth Univ. stairs cast #2,27 treads ( use froms from cast #1) ,10/2/2025,Demold,dm 2 ,5,2,2,"Demold:
9 Treads
pre fill viods as required"
Week 1,Monmouth Univ. stairs cast #2,27 treads ( use froms from cast #1) ,10/2/2025,Special,dry 2,3,2,5,"final dry fit 
confirm seams line up  flush 
Dry Fit 10 Treads"
Week 1,Monmouth Univ. stairs cast #2,27 treads ( use froms from cast #1) ,10/3/2025,Finish,acid,7,1,3,"Acid Wash 27 Tread
fill as required "
Week 1,Monmouth Univ. stairs cast #2,27 treads ( use froms from cast #1) ,10/4/2025,Crating,build,5,1,1,"Build Crate
27 Treads"
Week 1,Monmouth Univ. stairs cast #2,27 treads ( use froms from cast #1) ,10/4/2025,Finish,acid 2,8,2,3,"remove fill
re Acid Wash 27 Tread"
Week 2,Monmouth Univ. stairs cast #2,27 treads ( use froms from cast #1) ,10/7/2025,Seal,seal ,8,1,3,Seal  27 Tread
Week 2,Monmouth Univ. stairs cast #2,27 treads ( use froms from cast #1) ,10/8/2025,Seal,tu 2,2,2,3,Touch up 27 Treads
Week 2,Monmouth Univ. stairs cast #2,27 treads ( use froms from cast #1) ,10/9/2025,Seal,tu,2,3,3,"Spray FER to cover up 
imperfections"
Week 2,Monmouth Univ. stairs cast #2,27 treads ( use froms from cast #1) ,10/9/2025,Special,dry 3,6,3,5,"final dry fit 
confirm seams line up  flush 
Dry Fit 27 Treads"
Week 2,Monmouth Univ. stairs cast #2,27 treads ( use froms from cast #1) ,10/11/2025,Finish,rack,4,3,3,rack 
Week 5,Monmouth Univ. stairs cast #2,27 treads ( use froms from cast #1) ,10/30/2025,Special,dry 2,1,4,5,dry fit
Week 5,Monmouth Univ. stairs cast #2,27 treads ( use froms from cast #1) ,10/31/2025,Special,dry 2,2,5,5,
Week 1,Monmouth Univ. stairs cast #3,27 treads ( use froms from cast #2) ,10/2/2025,Mill,mill,7,1,1,"Mill:
Clean and Prep 27 Form
Cut New Parts as Req.
tape all foam
attched wood support to foam with double side tape "
Week 1,Monmouth Univ. stairs cast #3,27 treads ( use froms from cast #2) ,10/3/2025,Form Out,rb,15,1,1,"Form out:
27 Tread
Label per Drawings"
Week 1,Monmouth Univ. stairs cast #3,27 treads ( use froms from cast #2) ,10/4/2025,Crating,build,5,1,1,"Crate 
27 Treads"
Week 2,Monmouth Univ. stairs cast #3,27 treads ( use froms from cast #2) ,10/7/2025,Cast,cast,35,1,1,"Cast:
27 Treads"
Week 2,Monmouth Univ. stairs cast #3,27 treads ( use froms from cast #2) ,10/8/2025,Demold,dm,15,1,1,"Demold:
20 Treads
pre fill viods as required"
Week 2,Monmouth Univ. stairs cast #3,27 treads ( use froms from cast #2) ,10/8/2025,Special,dry,6,1,2,"Dry Fit 27 Treads
with de mold team "
Week 2,Monmouth Univ. stairs cast #3,27 treads ( use froms from cast #2) ,10/9/2025,Finish,acid,8,1,3,"Acid Wash 27 Tread
fill as required "
Week 2,Monmouth Univ. stairs cast #3,27 treads ( use froms from cast #2) ,10/10/2025,Finish,acid 2,7,2,3,"remove fill
re Acid Wash 27 Tread"
Week 3,Monmouth Univ. stairs cast #3,27 treads ( use froms from cast #2) ,10/14/2025,Seal,seal ,8,1,4,Seal  27 Tread
Week 3,Monmouth Univ. stairs cast #3,27 treads ( use froms from cast #2) ,10/15/2025,Seal,ty 2,2,2,4,Touch up 27 Treads
Week 3,Monmouth Univ. stairs cast #3,27 treads ( use froms from cast #2) ,10/16/2025,Seal,spray 3,2,3,4,"Spray FER to cover up 
imperfections"
Week 3,Monmouth Univ. stairs cast #3,27 treads ( use froms from cast #2) ,10/17/2025,Seal,tu 4,0,4,4,"Spray FER to cover up 
imperfections"
Week 3,Monmouth Univ. stairs cast #3,27 treads ( use froms from cast #2) ,10/18/2025,Finish,rack 3,4,3,3,rack 
Week 5,Monmouth Univ. stairs cast #3,27 treads ( use froms from cast #2) ,10/31/2025,Special,dry 2,3,2,2,"final dry fit 
row #2"
Week 2,Monmouth Univ. stairs cast #4,27 treads ( use froms from cast #3) ,10/9/2025,Mill,mill,5,1,1,"Mill:
Clean and Prep 27 Form
Cut New Parts as Req.

attched wood support to foam with double side tape"
Week 2,Monmouth Univ. stairs cast #4,27 treads ( use froms from cast #3) ,10/10/2025,Form Out,rb,15,1,2,"Form out:
26 Tread
Label per Drawings"
Week 2,Monmouth Univ. stairs cast #4,27 treads ( use froms from cast #3) ,10/13/2025,Form Out,rb 2,2,2,2,"apply all red tape to foam 
install wood support to foam with double tape"
Week 3,Monmouth Univ. stairs cast #4,27 treads ( use froms from cast #3) ,10/14/2025,Cast,cast,35,1,1,"Cast:
27 Treads"
Week 3,Monmouth Univ. stairs cast #4,27 treads ( use froms from cast #3) ,10/15/2025,Demold,dm,15,1,1,"Demold:
27 Treads
pre fill viods as required"
Week 3,Monmouth Univ. stairs cast #4,27 treads ( use froms from cast #3) ,10/15/2025,Special,dry,3,1,2,"Dry Fit 27 Treads
with de mold team"
Week 3,Monmouth Univ. stairs cast #4,27 treads ( use froms from cast #3) ,10/16/2025,Crating,build,5,1,1,"Build Crate 
27 Treads"
Week 3,Monmouth Univ. stairs cast #4,27 treads ( use froms from cast #3) ,10/16/2025,Finish,acid,8,1,3,"DAY 1 OF 2 Acid Wash 27 Tread
fill as required"
Week 3,Monmouth Univ. stairs cast #4,27 treads ( use froms from cast #3) ,10/17/2025,Finish,acid 2,7,2,3,"DAY 2 OF 2 Acid Wash 27 Tread
fill as required"
Week 4,Monmouth Univ. stairs cast #4,27 treads ( use froms from cast #3) ,10/21/2025,Seal,seal ,8,1,2,Seal  27 Tread
Week 4,Monmouth Univ. stairs cast #4,27 treads ( use froms from cast #3) ,10/22/2025,Seal,ty 2,4,2,2,Touch up 27 Treads
Week 4,Monmouth Univ. stairs cast #4,27 treads ( use froms from cast #3) ,10/23/2025,Finish,rack 3,4,3,3,rack  27 treads in coop #5
Week 4,Monmouth Univ. stairs cast #4,27 treads ( use froms from cast #3) ,10/23/2025,Special,dry,3,2,2,"final dry fit 
confirm seams line up  flush 
Dry Fit 27 Treads"
Week 3,Monmouth Univ. stairs cast #5,26 treads ( use froms from cast #4) ,10/16/2025,Crating,build,5,1,1,"Build Crate
27 Treads"
Week 3,Monmouth Univ. stairs cast #5,26 treads ( use froms from cast #4) ,10/16/2025,Mill,mill,7,1,1,"Mill Part for
7 Modified Form
Clean and Prep 19"
Week 3,Monmouth Univ. stairs cast #5,26 treads ( use froms from cast #4) ,10/17/2025,Form Out,rb,13,1,2,"Form out
7 Forms
Rebuild
19"
Week 3,Monmouth Univ. stairs cast #5,26 treads ( use froms from cast #4) ,10/20/2025,Form Out,rb 2,2,2,2,"apply tape to foam 
attach to wood support "
Week 4,Monmouth Univ. stairs cast #5,26 treads ( use froms from cast #4) ,10/21/2025,Cast,cast,35,1,1,"Cast 
26 Treads"
Week 4,Monmouth Univ. stairs cast #5,26 treads ( use froms from cast #4) ,10/22/2025,Demold,dm,15,1,1,"Demold
26 Tread"
Week 4,Monmouth Univ. stairs cast #5,26 treads ( use froms from cast #4) ,10/22/2025,Special,dry,3,1,1,"Dry Fit
27 Treads"
Week 4,Monmouth Univ. stairs cast #5,26 treads ( use froms from cast #4) ,10/23/2025,Finish,acid,8,1,3,"Light Sand & Fill Voids
Light Acid Wash 
27 Treads"
Week 4,Monmouth Univ. stairs cast #5,26 treads ( use froms from cast #4) ,10/24/2025,Finish,acid 2,10,2,3,"Grind off Fill
Acid Wash
27 Treads"
Week 4,Monmouth Univ. stairs cast #5,26 treads ( use froms from cast #4) ,10/27/2025,Seal,seal ,8,1,2,"Seal 
27 Treads"
Week 5,Monmouth Univ. stairs cast #5,26 treads ( use froms from cast #4) ,10/28/2025,Seal,ty 2,4,2,2,"Touch Up
27 treads
spray edge "
Week 5,Monmouth Univ. stairs cast #5,26 treads ( use froms from cast #4) ,10/29/2025,Finish,rack 3,4,3,3,rack in coop #1
Week 1,Moravian CO #1 ,L6 landing ,9/29/2025,Seal,seal 2,2,1,2,epoxy 
Week 1,Moravian CO #1 ,L6 landing ,9/30/2025,Seal,seal 2,0,2,2,"Seal 
2 Landings"
Week 1,Moravian CO #1 ,L6 landing ,10/1/2025,Special,A/S,5,1,1,"Install s. steel 
1  Landings"
Week 1,Moravian CO #1 ,L6 landing ,10/3/2025,Finish,rack 4,3,1,1,"Grind and Fill
2 Landings"
Week 1,Moravian CO #1 ,L6 landing ,10/3/2025,Ship,pk,1,1,1,"Ship
2 Landings"
Week 1,ON Running  Cast #4,17 panels ( use liners and trays form cast #3) ,9/29/2025,Seal,seal 2,10,1,2,"Seal
18 Panels"
Week 1,ON Running  Cast #4,17 panels ( use liners and trays form cast #3) ,9/30/2025,Seal,tu  3,0,2,2,"Seal
18 Panels"
Week 1,ON Running  Cast #4,17 panels ( use liners and trays form cast #3) ,10/1/2025,Finish,rack 3,5,1,1,"fill viods 
use sponge 
remove fill with black pad 
 18 Panels"
Week 1,ON Running  Cast #4,17 panels ( use liners and trays form cast #3) ,10/2/2025,Load,load,9,1,1,"Load:
18 Panels"
Week 4,ON Running  Cast #4   shipment ,all crates ,12/29/2025,Ship,ship,1,1,1,
Week 3,P 94 re makes ,3 panels ,10/20/2025,Mill,mill,,1,1,cut parts for 3 panels
Week 4,P 94 re makes ,3 panels ,10/21/2025,Form Out,fo,,1,1,form out 3 panels
Week 4,P 94 re makes ,3 panels ,10/23/2025,Cast,cast,,1,1,cast 3 panels
Week 4,P 94 re makes ,3 panels ,10/24/2025,Demold,dm,,1,1,de mold 3 panels
Week 4,P 94 re makes ,3 panels ,10/25/2025,Finish,acid,0,1,1,acid wash 3 panels
Week 4,P 94 re makes ,3 panels ,10/27/2025,Special,drill,0,1,1,"Drill
3 Panels"
Week 5,P 94 re makes ,3 panels ,10/28/2025,Seal,seal,0,1,1,Seal 3 Panels
Week 3,Penn state cast #16,   ( 3rd  shipment ) ,10/20/2025,Ship,ship,2,1,1,"Ship 
3rd Shipment"
Week 4,Primark Panels Cast # 4,22  panels ,10/27/2025,Crating,build,6,1,1,Build Crate 22 Panels
Week 4,Primark Panels Cast # 4,22  panels ,10/27/2025,Mill,mill,4,1,2,"Clean and Prep 10 Form
Cut all Parts for 2 Panel and as Req for modifications"
Week 5,Primark Panels Cast # 4,22  panels ,10/28/2025,Mill,mill 2,4,2,2,clean and prep 10 forms.
Week 5,Primark Panels Cast # 4,22  panels ,10/29/2025,Form Out,rb,10,1,2,"Rebuild 10 Panel
Build 2 New Panels"
Week 5,Primark Panels Cast # 4,22  panels ,10/30/2025,Form Out,rb 2,10,2,2,re build 10 panels
Week 5,Primark Panels Cast # 4,22  panels ,10/31/2025,Cast,cast,35,1,1,Cast 22 Panels
Week 5,Primark Panels Cast # 4,22  panels ,11/1/2025,Demold,dm,10,1,1,Demold 22 Panels
Week 5,Primark Panels Cast # 4,22  panels ,11/1/2025,Special,drill,10,1,1,Drill 22 Panels
Week 1,Primark Panels Cast # 4,22  panels ,11/3/2025,Finish,acid,5,1,5,Acid Wash 22 Panels
Week 1,Primark Panels Cast # 4,22  panels ,11/4/2025,Finish,acid 2,5,2,5,Acid Wash 22 Panels
Week 1,Primark Panels Cast # 4,22  panels ,11/5/2025,Finish,acid 3,5,3,5,Acid Wash 22 Panels
Week 1,Primark Panels Cast # 4,22  panels ,11/6/2025,Finish,acid 4,3,4,5,Acid  22 Panels   last day
Week 1,Primark Panels Cast # 4,22  panels ,11/7/2025,Finish,acid,2,5,5,acid wash  22 panels
Week 1,Primark Panels Cast # 4,22  panels ,11/10/2025,Seal,seal,3,1,3,Seal 22 Panels
Week 2,Primark Panels Cast # 4,22  panels ,11/11/2025,Seal,seal 2,4,2,3,Seal 22 Panels
Week 2,Primark Panels Cast # 4,22  panels ,11/12/2025,Seal,tu 3,5,3,3,Touch Up 22 Panels
Week 2,Primark Panels Cast # 4,22  panels ,11/13/2025,Load,load,15,1,1,Load 22 Panels
Week 2,Primark Panels Cast # 4,22  panels ,11/14/2025,Ship,ship,0,1,1,Ship 22 Panels
Week 1,Primark Panels Cast #1 , 18 panels ,9/30/2025,Form Out,fo,17,1,4,"Form out 
9 Panels
do NOT use double sided tape to secure foam ribs to base
cut formica for 50 ribs
start to glue to foam"
Week 1,Primark Panels Cast #1 , 18 panels ,10/1/2025,Form Out,fo 2,6,2,4,"complete cutting formica for 50 ribs
glue formica on 50 ribs 
router  formica as required"
Week 1,Primark Panels Cast #1 , 18 panels ,10/2/2025,Form Out,fo 3,9,3,4,"Form out 
9 Panels
do NOT use double sided tape to secure foam ribs to base"
Week 1,Primark Panels Cast #1 , 18 panels ,10/3/2025,Cast,cast,45,1,1,"Cast 18 panels 

Cast side ""B"""
Week 1,Primark Panels Cast #1 , 18 panels ,10/3/2025,Form Out,fo 4,3,4,4,complete FO of 2 panels
Week 1,Primark Panels Cast #1 , 18 panels ,10/4/2025,Demold,dm,10,1,3,"11 panels 

move panels from casting tables .
( leave in forms) place in de mold rack."
Week 1,Primark Panels Cast #1 , 18 panels ,10/6/2025,Demold,dm 2,5,2,3,move ½ panels (6)  ( round 1 )  over to side coop 3 for drilling.
Week 1,Primark Panels Cast #1 , 18 panels ,10/6/2025,Finish,acid,7,1,6,"ROUND 1( 9 PANELS )
Light acid wash and fill voids as required

Leave panels in place overnight"
Week 1,Primark Panels Cast #1 , 18 panels ,10/6/2025,Special,drill,12,1,2,"Drill required holes in back of panel
Round 1  ( 9 panels)

 Flip panels after lunch break as “ mid day Move”"
Week 2,Primark Panels Cast #1 , 18 panels ,10/7/2025,Demold,dm 3,5,3,3,"move ½ panels (6)  ( round 2 )  over to side coop 3 for drilling.   
Lay panels in forms upside down on steel . 
( need ¾ ply substrate with 1.5” thk foam )  remove forms from concrete.  foam chanels should stay in concrete . remove foam chanels form concrete  keep with form.  grind back as required ."
Week 2,Primark Panels Cast #1 , 18 panels ,10/7/2025,Finish,acid 2,10,2,6,"round 2 ( 9 PANELS )      Light acid wash and fill voids as required
ROUND 1 ( 9 panels )  remove fill , re acid wash"
Week 2,Primark Panels Cast #1 , 18 panels ,10/7/2025,Special,drill 2,13,2,2,"Drill required holes in back of panel
Round 2 ( 9 panels ) 

 Flip panels after lunch break as “ mid day Move”"
Week 2,Primark Panels Cast #1 , 18 panels ,10/8/2025,Finish,acid 3,6,3,6,"round 1  re acid wash to match sample 
round 2  ( 9 panels )     remove fill , re acid wash"
Week 2,Primark Panels Cast #1 , 18 panels ,10/9/2025,Finish,acid 3,5,4,6,"re acid wash 
fill as required"
Week 2,Primark Panels Cast #1 , 18 panels ,10/10/2025,Finish,tu 4,0,5,6,"re acid wash 
fill as required"
Week 2,Primark Panels Cast #1 , 18 panels ,10/13/2025,Seal,seal ,14,1,2,Seal 18 Panels
Week 3,Primark Panels Cast #1 , 18 panels ,10/14/2025,Crating,build,13,1,1,"Build Crate 
22 Panels"
Week 3,Primark Panels Cast #1 , 18 panels ,10/14/2025,Seal,tu 3,12,2,2,Seal 22 Panels
Week 3,Primark Panels Cast #1 , 18 panels ,10/15/2025,Finish,rack 3,10,6,6,
Week 3,Primark Panels Cast #1 , 18 panels ,10/15/2025,Load,load,15,1,1,"Load
22 panels"
Week 2,Primark Panels Cast #2,19 panels ,10/7/2025,Form Out,rb,10,1,3,Rebuild 9 forms..
Week 2,Primark Panels Cast #2,19 panels ,10/7/2025,Mill,mill,8,1,1,"Check and Prep All Foam
Cut Filler as needed


LABEL 7 FORMS THAT
 NEED TO BE MODIFIED.."
Week 2,Primark Panels Cast #2,19 panels ,10/8/2025,Form Out,rb 2,8,2,3,Rebuild 11 forms..
Week 2,Primark Panels Cast #2,19 panels ,10/9/2025,Cast,cast,45,1,1,"Cast
20 panels."
Week 2,Primark Panels Cast #2,19 panels ,10/9/2025,Form Out,fo 3,2,3,3,build 2 panels..
